rentPerMonth,latitude,longitude,propertyType,Date,neighberhood
0.1043,34.02463780436938,-6.839441917415599,MONTHLY,2026-01-14 18:05:52.379793,Hassan
0.1076,34.022838243731954,-6.841050339614356,MONTHLY,2025-12-30 18:05:52.379793,Hassan
0.105,34.022151834324504,-6.845225098025387,MONTHLY,2025-12-15 18:05:52.379793,Hassan
0.1073,34.0256328901619,-6.843047751995232,MONTHLY,2025-11-30 18:05:52.379793,Hassan
0.105,34.02251518632576,-6.841406687603414,MONTHLY,2025-11-15 18:05:52.379793,Hassan
0.1022,34.02274105007815,-6.838804559066174,MONTHLY,2025-10-31 18:05:52.379793,Hassan
0.1095,34.02478846604376,-6.839755561669555,MONTHLY,2025-10-16 18:05:52.379793,Hassan
0.1045,34.02279949229979,-6.838105120357906,MONTHLY,2025-10-01 18:05:52.379793,Hassan
0.1057,34.02272888051945,-6.842043104389351,MONTHLY,2025-09-16 18:05:52.379793,Hassan
0.1049,34.02293270239232,-6.8400110557246405,MONTHLY,2025-09-01 18:05:52.379793,Hassan
0.1047,34.02477869782651,-6.8425302382278455,MONTHLY,2025-08-17 18:05:52.379793,Hassan
0.1067,34.02955662608311,-6.837612720551435,MONTHLY,2025-08-02 18:05:52.379793,Hassan
0.1052,34.025763522077895,-6.84201817068573,MONTHLY,2025-07-18 18:05:52.379793,Hassan
0.1022,34.025547400833666,-6.841076283323326,MONTHLY,2025-07-03 18:05:52.379793,Hassan
0.1025,34.02223881746791,-6.842261104609363,MONTHLY,2025-06-18 18:05:52.379793,Hassan
0.1047,34.02516424558943,-6.838224503080813,MONTHLY,2025-06-03 18:05:52.379793,Hassan
0.1058,34.02550999559449,-6.840414331780209,MONTHLY,2025-05-19 18:05:52.379793,Hassan
0.1033,34.02098369342091,-6.83780070604843,MONTHLY,2025-05-04 18:05:52.379793,Hassan
0.1039,34.02317923338263,-6.837640567310599,MONTHLY,2025-04-19 18:05:52.379793,Hassan
0.1027,34.02566959083846,-6.839406877231342,MONTHLY,2025-04-04 18:05:52.379793,Hassan
0.1024,34.02384839250995,-6.838054072932488,MONTHLY,2025-03-20 18:05:52.379793,Hassan
0.1051,34.02699086850577,-6.839323637496014,MONTHLY,2025-03-05 18:05:52.379793,Hassan
0.109,34.02215921838987,-6.84079727678003,MONTHLY,2025-02-18 18:05:52.379793,Hassan
0.1036,34.02116249908282,-6.837915016765321,MONTHLY,2025-02-03 18:05:52.379793,Hassan
0.105,34.024038000662124,-6.841068832907347,MONTHLY,2025-01-19 18:05:52.379793,Hassan
0.1011,34.022421483342605,-6.838512577432457,MONTHLY,2025-01-04 18:05:52.379793,Hassan
0.103,34.02314626241192,-6.8389971033369505,MONTHLY,2024-12-20 18:05:52.379793,Hassan
0.1051,34.02451423374011,-6.839370974208274,MONTHLY,2024-12-05 18:05:52.379793,Hassan
0.1053,34.02435110658791,-6.840618577092889,MONTHLY,2024-11-20 18:05:52.379793,Hassan
